epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.543,1.42969,1.19058,1.66809,0.80468,0.82727,0.85608,0.47753,1.56198,0.96856,1.89283,0.0700211,0.00333099,0.00333099
2,382.096,1.42567,1.17999,1.66758,0.8133,0.86188,0.86622,0.48989,1.47376,0.99826,2.03564,0.0398562,0.00649938,0.00649938
3,562.883,1.42266,1.19152,1.67445,0.83862,0.82983,0.86953,0.51119,1.34733,0.94593,1.80276,0.00952621,0.00950277,0.00950277
4,743.585,1.40063,1.17287,1.65329,0.82902,0.88226,0.88738,0.51721,1.38683,0.84616,1.82062,0.0092575,0.0092575,0.0092575
5,923.037,1.38947,1.15859,1.6429,0.84133,0.85607,0.87858,0.48886,1.58012,0.88977,1.74865,0.00901,0.00901,0.00901
6,1106.95,1.3772,1.14563,1.63901,0.83124,0.85583,0.88482,0.5134,1.42601,0.8433,1.75299,0.0087625,0.0087625,0.0087625
7,1288.38,1.37408,1.1373,1.6345,0.83296,0.86391,0.88112,0.50019,1.45775,0.93744,1.79992,0.008515,0.008515,0.008515
8,1467.24,1.35087,1.12154,1.62183,0.8167,0.8587,0.87728,0.51354,1.3909,0.90009,1.76618,0.0082675,0.0082675,0.0082675
9,1640.33,1.34974,1.11983,1.62481,0.82615,0.86713,0.87048,0.51043,1.44436,0.88139,1.90838,0.00802,0.00802,0.00802
10,1813.24,1.35113,1.12219,1.62436,0.83014,0.86424,0.8843,0.51107,1.41029,0.8391,1.76462,0.0077725,0.0077725,0.0077725
11,1987.71,1.34678,1.10814,1.61368,0.84054,0.84675,0.87083,0.48061,1.55115,0.87971,1.87745,0.007525,0.007525,0.007525
12,2169.48,1.3316,1.10188,1.60976,0.83351,0.84367,0.8772,0.4973,1.47324,0.91944,1.84855,0.0072775,0.0072775,0.0072775
13,2352.19,1.32355,1.09458,1.60498,0.83256,0.85187,0.8766,0.49133,1.46276,0.86271,1.78122,0.00703,0.00703,0.00703
14,2534.88,1.31738,1.08388,1.59919,0.84859,0.85029,0.88599,0.52247,1.40092,0.82274,1.85791,0.0067825,0.0067825,0.0067825
15,2717.89,1.31371,1.07815,1.60135,0.81055,0.85308,0.87999,0.47755,1.60042,0.89554,1.92528,0.006535,0.006535,0.006535
16,2901.3,1.29847,1.06581,1.59309,0.83213,0.8562,0.88295,0.47347,1.62977,0.89525,1.90121,0.0062875,0.0062875,0.0062875
17,3084.17,1.29946,1.06924,1.59399,0.84887,0.85802,0.88457,0.51201,1.37729,0.79627,1.91006,0.00604,0.00604,0.00604
18,3261.66,1.29007,1.04884,1.58398,0.82577,0.86239,0.87477,0.47251,1.57346,0.88224,1.85739,0.0057925,0.0057925,0.0057925
19,3446.94,1.28569,1.04838,1.58038,0.83248,0.8635,0.8851,0.48453,1.62015,0.86712,1.79694,0.005545,0.005545,0.005545
20,3622.12,1.28478,1.04354,1.57309,0.81773,0.84675,0.87617,0.49588,1.49522,0.87938,1.78948,0.0052975,0.0052975,0.0052975
21,3797.16,1.27235,1.03921,1.566,0.82688,0.86177,0.88491,0.49455,1.50218,0.8515,1.82424,0.00505,0.00505,0.00505
22,3975.45,1.2722,1.04716,1.57212,0.81511,0.85418,0.86778,0.44026,1.67421,0.91191,1.93101,0.0048025,0.0048025,0.0048025
23,4150.12,1.26451,1.02357,1.55582,0.85445,0.85392,0.88929,0.46526,1.69782,0.84405,1.77046,0.004555,0.004555,0.004555
24,4328.8,1.2657,1.02875,1.55925,0.82084,0.85481,0.87982,0.47535,1.56024,0.86506,1.85194,0.0043075,0.0043075,0.0043075
25,4509.34,1.24723,1.01061,1.55052,0.82992,0.86035,0.88449,0.47971,1.5382,0.83409,1.76422,0.00406,0.00406,0.00406
26,4687.8,1.2444,1.01517,1.54678,0.83219,0.84898,0.8822,0.48498,1.5544,0.85935,1.85122,0.0038125,0.0038125,0.0038125
27,4864.73,1.24549,1.0049,1.55009,0.82281,0.84736,0.88329,0.48792,1.52292,0.84259,1.8343,0.003565,0.003565,0.003565
28,5039.99,1.24021,1.00489,1.54629,0.81758,0.8488,0.87467,0.49346,1.46354,0.88517,1.85574,0.0033175,0.0033175,0.0033175
29,5210.88,1.23436,1.00368,1.54689,0.83642,0.85441,0.88633,0.47879,1.59864,0.83187,1.86271,0.00307,0.00307,0.00307
30,5388.27,1.23402,0.98893,1.54232,0.84942,0.86058,0.89173,0.49289,1.50164,0.78372,1.8124,0.0028225,0.0028225,0.0028225
31,5574.58,1.22334,0.79112,1.58041,0.83615,0.87362,0.8925,0.45175,1.66607,0.85789,1.90759,0.002575,0.002575,0.002575
32,5750.63,1.21048,0.77547,1.5677,0.85024,0.84008,0.88635,0.46299,1.62448,0.8528,1.87023,0.0023275,0.0023275,0.0023275
33,5923.61,1.197,0.77187,1.55305,0.84594,0.86776,0.89627,0.47362,1.58824,0.80894,1.79727,0.00208,0.00208,0.00208
34,6099.42,1.19002,0.77283,1.55843,0.84511,0.85136,0.89212,0.4857,1.5193,0.81648,1.90588,0.0018325,0.0018325,0.0018325
